iter	Passed	Remaining
756	10398	7417
757	10411	7403
758	10424	7389
759	10437	7374
760	10452	7361
761	10465	7347
762	10478	7333
763	10492	7320
764	10507	7307
765	10522	7294
766	10536	7281
767	10551	7267
768	10565	7254
769	10580	7241
770	10595	7228
771	10609	7215
772	10622	7201
773	10636	7187
774	10649	7173
775	10662	7158
776	10679	7147
777	10693	7133
778	10706	7119
779	10722	7106
780	10737	7093
781	10753	7081
782	10766	7067
783	10781	7054
784	10794	7040
785	10807	7026
786	10821	7012
787	10834	6998
788	10847	6984
789	10860	6970
790	10874	6956
791	10887	6942
792	10901	6928
793	10916	6915
794	10930	6902
795	10946	6889
796	10960	6875
797	10973	6861
798	10986	6847
799	10998	6832
800	11011	6818
801	11024	6804
802	11037	6790
803	11050	6776
804	11063	6761
805	11076	6747
806	11089	6733
807	11104	6720
808	11119	6707
809	11132	6693
810	11145	6679
811	11158	6665
812	11172	6651
813	11184	6636
814	11198	6622
815	11212	6609
816	11225	6595
817	11238	6580
818	11251	6566
819	11267	6554
820	11282	6541
821	11298	6528
822	11312	6515
823	11325	6501
824	11338	6486
825	11350	6472
826	11363	6458
827	11376	6444
828	11389	6429
829	11402	6415
830	11415	6401
831	11429	6387
832	11442	6373
833	11456	6360
834	11471	6347
835	11487	6334
836	11501	6320
837	11515	6307
838	11531	6294
839	11547	6282
840	11560	6268
841	11574	6254
842	11588	6240
843	11601	6226
844	11614	6212
845	11628	6199
846	11644	6186
847	11659	6173
848	11676	6161
849	11689	6147
850	11704	6134
851	11720	6121
852	11733	6107
853	11747	6093
854	11760	6079
855	11773	6065
856	11786	6051
857	11798	6036
858	11812	6022
859	11824	6008
860	11840	5995
861	11854	5982
862	11869	5968
863	11883	5955
864	11896	5941
865	11909	5927
866	11921	5912
867	11934	5898
868	11947	5884
869	11960	5870
870	11974	5856
871	11987	5842
872	12000	5828
873	12015	5815
874	12029	5801
875	12043	5787
876	12056	5773
877	12069	5759
878	12082	5745
879	12095	5731
880	12109	5717
881	12125	5705
882	12137	5690
883	12150	5676
884	12162	5662
885	12175	5647
886	12187	5633
887	12202	5620
888	12216	5606
889	12229	5592
890	12246	5580
891	12258	5565
892	12271	5551
893	12283	5537
894	12296	5523
895	12309	5508
896	12321	5494
897	12352	5488
898	12374	5478
899	12391	5465
900	12405	5452
901	12420	5439
902	12435	5425
903	12448	5411
904	12463	5398
905	12476	5384
906	12490	5370
907	12504	5357
908	12517	5343
909	12531	5329
910	12549	5317
911	12567	5305
912	12584	5293
913	12599	5279
914	12614	5266
915	12628	5252
916	12641	5238
917	12658	5225
918	12671	5211
919	12685	5198
920	12699	5184
921	12712	5170
922	12732	5159
923	12746	5145
924	12761	5132
925	12775	5118
926	12788	5104
927	12804	5091
928	12817	5077
929	12831	5063
930	12844	5049
931	12858	5035
932	12871	5021
933	12883	5007
934	12897	4993
935	12914	4980
936	12928	4967
937	12942	4953
938	12955	4939
939	12968	4925
940	12982	4911
941	12995	4897
942	13009	4883
943	13022	4869
944	13035	4855
945	13050	4842
946	13062	4827
947	13075	4813
948	13093	4801
949	13106	4787
950	13121	4773
951	13135	4760
952	13148	4746
953	13161	4732
954	13174	4718
955	13187	4703
956	13201	4690
957	13214	4675
958	13226	4661
959	13239	4647
960	13253	4633
961	13267	4620
962	13282	4606
963	13296	4592
964	13310	4579
965	13323	4565
966	13338	4552
967	13352	4538
968	13365	4524
969	13379	4510
970	13392	4496
971	13407	4482
972	13422	4469
973	13436	4455
974	13452	4442
975	13469	4429
976	13484	4416
977	13499	4403
978	13513	4389
979	13527	4375
980	13541	4361
981	13554	4347
982	13567	4333
983	13580	4319
984	13597	4307
985	13612	4293
986	13626	4279
987	13642	4266
988	13657	4253
989	13671	4239
990	13687	4226
991	13700	4212
992	13714	4198
993	13729	4185
994	13742	4171
995	13757	4157
996	13771	4143
997	13784	4129
998	13798	4115
999	13813	4102
1000	13830	4089
1001	13843	4075
1002	13857	4061
1003	13870	4047
1004	13883	4033
1005	13896	4019
1006	13909	4005
1007	13921	3991
1008	13934	3977
1009	13947	3963
1010	13960	3949
1011	13973	3935
1012	13987	3921
1013	14003	3908
1014	14018	3894
1015	14032	3881
1016	14045	3867
1017	14058	3853
1018	14071	3838
1019	14084	3824
1020	14097	3810
1021	14111	3797
1022	14124	3783
1023	14137	3769
1024	14150	3754
1025	14162	3740
1026	14179	3727
1027	14195	3714
1028	14208	3700
1029	14221	3686
1030	14234	3672
1031	14246	3658
1032	14259	3644
1033	14271	3630
1034	14284	3615
1035	14297	3601
1036	14310	3587
1037	14323	3573
1038	14336	3560
1039	14349	3545
1040	14364	3532
1041	14379	3519
1042	14394	3505
1043	14408	3491
1044	14422	3478
1045	14436	3464
1046	14450	3450
1047	14466	3437
1048	14479	3423
1049	14493	3409
1050	14507	3395
1051	14521	3381
1052	14535	3368
1053	14551	3354
1054	14569	3341
1055	14583	3328
1056	14599	3314
1057	14613	3301
1058	14628	3287
1059	14642	3273
1060	14655	3259
1061	14671	3246
1062	14684	3232
1063	14699	3218
1064	14711	3204
1065	14729	3191
1066	14743	3178
1067	14756	3164
1068	14775	3151
1069	14788	3137
1070	14800	3123
1071	14813	3109
1072	14826	3095
1073	14839	3081
1074	14852	3067
1075	14865	3053
1076	14878	3039
1077	14891	3025
1078	14907	3011
1079	14921	2998
1080	14934	2984
1081	14948	2970
1082	14980	2960
1083	14999	2947
1084	15013	2933
1085	15026	2919
1086	15038	2905
1087	15050	2891
1088	15063	2877
1089	15079	2863
1090	15094	2850
1091	15107	2836
1092	15121	2822
1093	15134	2808
1094	15150	2794
1095	15162	2780
1096	15175	2766
1097	15188	2752
1098	15201	2738
1099	15214	2724
1100	15226	2710
1101	15239	2696
1102	15255	2683
1103	15269	2669
1104	15283	2655
1105	15297	2641
1106	15312	2628
1107	15327	2614
1108	15341	2600
1109	15355	2586
1110	15369	2573
1111	15383	2559
1112	15397	2545
1113	15410	2531
1114	15423	2517
1115	15439	2504
1116	15454	2490
1117	15468	2476
1118	15482	2462
1119	15496	2449
1120	15514	2435
1121	15529	2422
1122	15544	2408
1123	15559	2394
1124	15572	2380
1125	15586	2367
1126	15599	2353
1127	15616	2339
1128	15632	2326
1129	15646	2312
1130	15661	2298
1131	15674	2284
1132	15688	2270
1133	15700	2256
1134	15716	2243
1135	15729	2229
1136	15742	2215
1137	15754	2201
1138	15766	2187
1139	15779	2173
1140	15791	2159
1141	15808	2145
1142	15822	2131
1143	15835	2117
1144	15848	2103
1145	15861	2089
1146	15874	2076
1147	15887	2062
1148	15900	2048
1149	15912	2034
1150	15925	2020
1151	15938	2006
1152	15951	1992
1153	15964	1978
1154	15978	1964
1155	15999	1951
1156	16014	1937
1157	16030	1924
1158	16043	1910
1159	16055	1896
1160	16068	1882
1161	16080	1868
1162	16093	1854
1163	16106	1840
1164	16118	1826
1165	16131	1812
1166	16146	1798
1167	16162	1785
1168	16176	1771
1169	16189	1757
1170	16203	1743
1171	16216	1729
1172	16230	1715
1173	16243	1701
1174	16275	1689
1175	16299	1677
1176	16316	1663
1177	16333	1649
1178	16347	1636
1179	16361	1622
1180	16376	1608
1181	16389	1594
1182	16403	1580
1183	16419	1567
1184	16432	1553
1185	16447	1539
1186	16460	1525
1187	16473	1511
1188	16488	1497
1189	16502	1483
1190	16516	1470
1191	16532	1456
1192	16545	1442
1193	16559	1428
1194	16573	1414
1195	16589	1400
1196	16603	1387
1197	16617	1373
1198	16630	1359
1199	16643	1345
1200	16657	1331
1201	16670	1317
1202	16686	1303
1203	16700	1290
1204	16714	1276
1205	16727	1262
1206	16740	1248
1207	16753	1234
1208	16766	1220
1209	16778	1206
1210	16792	1192
1211	16805	1178
1212	16818	1164
1213	16831	1150
1214	16844	1136
1215	16859	1123
1216	16872	1109
1217	16889	1095
1218	16903	1081
1219	16915	1067
1220	16928	1053
1221	16940	1039
1222	16952	1025
1223	16965	1011
1224	16977	997
1225	16990	983
1226	17002	969
1227	17015	956
1228	17027	942
1229	17043	928
1230	17058	914
1231	17071	900
1232	17086	886
1233	17099	872
1234	17112	859
1235	17124	845
1236	17138	831
1237	17150	817
1238	17163	803
1239	17176	789
1240	17191	775
1241	17205	761
1242	17224	748
1243	17238	734
1244	17255	720
1245	17269	706
1246	17284	693
1247	17300	679
1248	17314	665
1249	17327	651
1250	17341	637
1251	17356	623
1252	17369	609
1253	17383	596
1254	17397	582
1255	17414	568
1256	17429	554
1257	17444	540
1258	17460	526
1259	17473	513
1260	17488	499
1261	17502	485
1262	17517	471
